part_number,name,description,category,part_type,brand,vehicle_brand,engine_type,specifications,price,pricing_type,cost_price,selling_price,discount,foreign_price,exchange_rate
NEP57-007,,,,Genuine,NTN,,3G83,Qty: 1,0,standard,0,0,0,0,0
62TB0524,,,,Genuine,NSK,,1N,Qty: 1,0,standard,0,0,0,0,0
NEP57-013,,,,Genuine,NTN,,5A,Qty: 2,0,standard,0,0,0,0,0
62TB0629B29,,,,Genuine,NSK,,KZJ95,Qty: 2,0,standard,0,0,0,0,0
62TB0629B25,,,,Genuine,NSK,,1KD,Qty: 2,0,standard,0,0,0,0,0
U00135R,,,,Genuine,KOYO,,1HD-T,Qty: 1,0,standard,0,0,0,0,0
JPU58-009,,,,Genuine,NTN,,,Qty: 1,0,standard,0,0,0,0,0
JPU57-008,,,,Genuine,NTN,,,Qty: 2,0,standard,0,0,0,0,0
NEP52-014,,M/323,,Genuine,NTN,,,Qty: 1,0,standard,0,0,0,0,0
60TB031,,,,Genuine,NSK,,,Qty: 2,0,standard,0,0,0,0,0
GT20050,,"Sonata, Elantra",,Genuine,GMB,Hyundai,,Qty: 3,0,standard,0,0,0,0,0
NEP58-008,,,,Genuine,NTN,,,Qty: 1,0,standard,0,0,0,0,0
NEP50-014,,D/buddy,,Genuine,NTN,,,Qty: 2,0,standard,0,0,0,0,0
MD356509,,,,Genuine,,,,Qty: 1,0,standard,0,0,0,0,0
MD050125,,,,Genuine,,,,Qty: 4,0,standard,0,0,0,0,0
PU305729,,Montero V73,,Genuine,KOYO,Mitsubishi,,Qty: 2,0,standard,0,0,0,0,0
PU106018,,Montero V73,,Genuine,KOYO,Mitsubishi,,Qty: 2,0,standard,0,0,0,0,0
60TB0652,,C22,,Genuine,NSK,,,,0,standard,0,0,0,0,0
DG3060312,,,,Genuine,KOYO,,CD20-Turbo,Qty: 1,0,standard,0,0,0,0,0
DU28522,,M/BJ,,Genuine,KOYO,,,Qty: 1,0,standard,0,0,0,0,0
70TB0808,,,,Genuine,NSK,,CD20,Qty: 1,0,standard,0,0,0,0,0
